"numero","nom","filename"
1,"POUR UNE HUMANITE SOUVERAINE","ER24-POUR_UNE_HUMANITE_SOUVERAINE-1-profession_foi.pdf"
2,"POUR UNE DEMOCRATIE REELLE : DECIDONS NOUS-MEMES !","ER24-POUR_UNE_DEMOCRATIE_REELLE_DECIDONS_NOUS-MEMES-2-profession_foi.pdf"
3,"LA FRANCE FIERE, MENEE PAR MARION MARECHAL ET SOUTENUE PAR ÉRIC ZEMMOUR","ER24-LA_FRANCE_FIERE_MENEE_PAR_MARION_MARECHAL_ET_SOUTENUE_PAR_ERIC_ZEMMOUR-3-profession_foi.pdf"
4,"LA FRANCE INSOUMISE - UNION POPULAIRE","ER24-LA_FRANCE_INSOUMISE_UNION_POPULAIRE-4-profession_foi.pdf"
5,"LA FRANCE REVIENT ! AVEC JORDAN BARDELLA ET MARINE LE PEN","ER24-LA_FRANCE_REVIENT_AVEC_JORDAN_BARDELLA_ET_MARINE_LE_PEN-5-profession_foi.pdf"
6,"EUROPE ECOLOGIE","ER24-EUROPE_ECOLOGIE-6-profession_foi.pdf"
7,"FREE PALESTINE",
8,"PARTI ANIMALISTE - LES ANIMAUX COMPTENT, VOTRE VOIX AUSSI","ER24-PARTI_ANIMALISTE_LES_ANIMAUX_COMPTENT_VOTRE_VOIX_AUSSI-8-profession_foi.pdf"
9,"PARTI REVOLUTIONNAIRE COMMUNISTES","ER24-PARTI_REVOLUTIONNAIRE_COMMUNISTES-9-profession_foi.pdf"
10,"PARTI PIRATE","ER24-PARTI_PIRATE-10-profession_foi.pdf"
11,"BESOIN D’EUROPE","ER24-BESOIN_D_EUROPE-11-profession_foi.pdf"
12,"PACE - PARTI DES CITOYENS EUROPEENS, POUR L’ARMEE EUROPEENNE, POUR L’EUROPE SOCIALE, POUR LA PLANETE !","ER24-PACE_PARTI_DES_CITOYENS_EUROPEENS_POUR_L_ARMEE_EUROPEENNE_POUR_L_EUROPE_SOCIALE_POUR_LA_PLANETE-12-profession_foi.pdf"
13,"ÉQUINOXE : ÉCOLOGIE PRATIQUE ET RENOUVEAU DÉMOCRATIQUE","ER24-EQUINOXE_ECOLOGIE_PRATIQUE_ET_RENOUVEAU_DEMOCRATIQUE-13-profession_foi.pdf"
14,"ECOLOGIE POSITIVE ET TERRITOIRES","ER24-ECOLOGIE_POSITIVE_ET_TERRITOIRES-14-profession_foi.pdf"
15,"LISTE ASSELINEAU-FREXIT, POUR LE POUVOIR D’ACHAT ET POUR LA PAIX",
16,"PAIX ET DECROISSANCE","ER24-PAIX_ET_DECROISSANCE-16-profession_foi.pdf"
17,"POUR UNE AUTRE EUROPE","ER24-POUR_UNE_AUTRE_EUROPE-17-profession_foi.pdf"
18,"LA DROITE POUR FAIRE ENTENDRE LA VOIX DE LA FRANCE EN EUROPE","ER24-LA_DROITE_POUR_FAIRE_ENTENDRE_LA_VOIX_DE_LA_FRANCE_EN_EUROPE-18-profession_foi.pdf"
19,"LUTTE OUVRIERE LE CAMP DES TRAVAILLEURS","ER24-LUTTE_OUVRIERE_LE_CAMP_DES_TRAVAILLEURS-19-profession_foi.pdf"
20,"CHANGER L’EUROPE","ER24-CHANGER_L_EUROPE-20-profession_foi.pdf"
21,"NOUS LE PEUPLE","ER24-NOUS_LE_PEUPLE-21-profession_foi.pdf"
22,"POUR UN MONDE SANS FRONTIERES NI PATRONS, URGENCE REVOLUTION !","ER24-POUR_UN_MONDE_SANS_FRONTIERES_NI_PATRONS_URGENCE_REVOLUTION-22-profession_foi.pdf"
23,"« POUR LE PAIN, LA PAIX, LA LIBERTE ! » PRESENTEE PAR LE PARTI DES TRAVAILLEURS","ER24-POUR_LE_PAIN_LA_PAIX_LA_LIBERTE_PRESENTEE_PAR_LE_PARTI_DES_TRAVAILLEURS-23-profession_foi.pdf"
24,"L’EUROPE ÇA SUFFIT !","ER24-L_EUROPE_CA_SUFFIT-24-profession_foi.pdf"
25,"NON ! PRENONS-NOUS EN MAINS","ER24-NON_PRENONS-NOUS_EN_MAINS-25-profession_foi.pdf"
26,"FORTERESSE EUROPE - LISTE D’UNITE NATIONALISTE","ER24-FORTERESSE_EUROPE_LISTE_D_UNITE_NATIONALISTE-26-profession_foi.pdf"
27,"REVEILLER L’EUROPE","ER24-REVEILLER_L_EUROPE-27-profession_foi.pdf"
28,"NON A L’UE ET A L’OTAN, COMMUNISTES POUR LA PAIX ET LE PROGRES SOCIAL","ER24-NON_A_L_UE_ET_A_L_OTAN_COMMUNISTES_POUR_LA_PAIX_ET_LE_PROGRES_SOCIAL-28-profession_foi.pdf"
29,"ALLIANCE RURALE","ER24-ALLIANCE_RURALE-29-profession_foi.pdf"
30,"FRANCE LIBRE","ER24-FRANCE_LIBRE-30-profession_foi.pdf"
31,"EUROPE TERRITOIRES ÉCOLOGIE","ER24-EUROPE_TERRITOIRES_ECOLOGIE-31-profession_foi.pdf"
32,"LA RUCHE CITOYENNE","ER24-LA_RUCHE_CITOYENNE-32-profession_foi.pdf"
33,"GAUCHE UNIE POUR LE MONDE DU TRAVAIL SOUTENUE PAR FABIEN ROUSSEL","ER24-GAUCHE_UNIE_POUR_LE_MONDE_DU_TRAVAIL_SOUTENUE_PAR_FABIEN_ROUSSEL-33-profession_foi.pdf"
34,"DEFENDRE LES ENFANTS","ER24-DEFENDRE_LES_ENFANTS-34-profession_foi.pdf"
